"","player_name","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","fmb","tp_c","f_ppr","cmp_pct","int_pct","td_pct","f_custom","tgt","rec","rec_yd","rec_td","tgt_p"
"1","P.Mahomes","QB",17,648,435,5250,41,12,61,358,4,0,3,417.4,0.671296296296296,0.0185185185185185,0.0632716049382716,427.8,0,0,0,0,0
"2","C.Henne","QB",2,2,0,0,0,0,5,-5,0,0,0,-0.5,0,0,0,-0.5,0,0,0,0,0
"3","J.McKinnon","RB",17,0,0,0,0,0,72,291,1,1,1,196.3,0,0,0,168.3,71,56,512,9,0.109230769230769
"4","I.Pacheco","RB",17,0,0,0,0,0,170,830,5,2,0,135,0,0,0,128.5,14,13,130,0,0.0215384615384615
"5","C.Edwards-Helaire","RB",10,0,0,0,0,0,71,302,3,0,0,98.3,0,0,0,89.8,23,17,151,3,0.0353846153846154
"6","R.Jones","RB",5,0,0,0,0,0,17,70,1,0,0,16.2,0,0,0,15.7,1,1,22,0,0.00153846153846154
"7","T.Kelce","TE",17,0,0,0,0,0,2,5,0,1,1,316.3,0,0,0,261.3,152,110,1338,12,0.233846153846154
"8","N.Gray","TE",17,0,0,0,0,0,1,1,1,0,0,70,0,0,0,56,34,28,299,1,0.0523076923076923
"9","J.Fortson","TE",9,0,0,0,0,0,0,0,0,0,0,31.8,0,0,0,27.3,13,9,108,2,0.02
"10","B.Bell","TE",2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,2,2,20,1,0.00307692307692308
"11","J.Smith-Schuster","WR",16,0,0,0,0,0,0,0,0,2,0,185.3,0,0,0,146.3,101,78,933,3,0.155384615384615
"12","M.Valdes-Scantling","WR",17,0,0,0,0,0,1,-3,0,0,0,122.4,0,0,0,101.4,81,42,687,2,0.124615384615385
"13","M.Hardman","WR",8,0,0,0,0,0,4,31,2,0,0,93.8,0,0,0,81.3,34,25,297,4,0.0523076923076923
"14","J.Watson","WR",17,0,0,0,0,0,0,0,0,0,0,58.5,0,0,0,51,34,15,315,2,0.0523076923076923
"15","K.Toney","WR",7,0,0,0,0,0,5,59,1,0,0,55,0,0,0,48,17,14,171,2,0.0261538461538462
"16","S.Moore","WR",14,0,0,0,0,0,3,24,0,0,0,49.4,0,0,0,38.4,33,22,250,0,0.0507692307692308
